sr,tender_number,title,description,ppra_category,reference,organization,location,status,advertised_date,closing_date,closing_time,detail_url,category,closing_dt,scraped_at
1,TS0000012455E,Raowire,,Equipments,FCS/LKI/TE/021/26,Sui Northern Gas Pipelines Limited (SNGPL),Karak - Pakistan,Published,"Aug 30, 2026","Sep 14, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012455E,Goods/Supplies,2026-09-14,2026-08-30T06:06:58.732314
2,TS0000012446E,CLEANING & SWEEPING SERVICES CONTRACT FOR PQA AREAS / OFFICES & HOUSING COMPLEX 2026-28,,Repair/Maintenance,https://epads.gov.pk/opportunities/federal/procurements/96877,Ministry of Maritime Affairs,Karachi - Pakistan,Published,"Aug 29, 2026","Sep 24, 2026",11:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012446E,Services,2026-09-24,2026-08-30T06:06:58.732314
3,TS0000011046E,Signal wire & etc,Corrigendum TENDER ARE INVITED FOR MISC ITEMS Department:...,Civil Works,20/0001/00-0/1-2026,Pakistan Railways,Lahore - Pakistan,PublishedCorrigendum,"Aug 29, 2026","Sep 21, 2026",10:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011046E,Construction/Works,2026-09-21,2026-08-30T06:06:58.732314
4,TS0000012444E,"NCB-246 Construction of 01 No Line Bay at 132 kV Grid Station Lakarmar (controlling 2nd circuit Lakarmar to Tamman) under IESCO Multiyear Tariff (Rs. 2,624,715/- including PST)",NCB-246 Construction of 01 No Line Bay at 132 kV...,Civil Works,"NCB-246 Construction of 01 No Line Bay at 132 kV Grid Station Lakarmar (controlling 2nd circuit Lakarmar to Tamman) under IESCO Multiyear Tariff (Rs. 2,624,715/- including PST)",Islamabad Electric Supply Company (IESCO),Islamabad - Pakistan,Published,"Aug 29, 2026","Sep 21, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012444E,Construction/Works,2026-09-21,2026-08-30T06:06:58.732314
5,TS0000012447E,Hiring of Investment Advisor Separately Managed Account (SMA) — Investment Management Services,Daanish University is an emerging institution in...,Services,P104326,Ministry of Federal Education and Professional Training,Islamabad - Pakistan,Published,"Aug 29, 2026","Sep 17, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012447E,Services,2026-09-17,2026-08-30T06:06:58.732314
6,TS0000012452E,Misc Civil Items,,Civil Goods,FCS/LKI/TE/019/26,Sui Northern Gas Pipelines Limited (SNGPL),Karak - Pakistan,Published,"Aug 29, 2026","Sep 17, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012452E,Other,2026-09-17,2026-08-30T06:06:58.732314
7,TS0000012454E,HARDWARE MATERIAL unclaimable items,,Equipments,FCS/LKI/TE/020/26,Sui Northern Gas Pipelines Limited (SNGPL),Karak - Pakistan,Published,"Aug 29, 2026","Sep 17, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012454E,Goods/Supplies,2026-09-17,2026-08-30T06:06:58.732314
8,TS0000012440E,Misc Electrical Items,,Electrical Items,FCS/DIK/TE/044/26,Sui Northern Gas Pipelines Limited (SNGPL),Karak - Pakistan,Published,"Aug 29, 2026","Sep 16, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012440E,Energy/Utilities,2026-09-16,2026-08-30T06:06:58.732314
9,TS0000012449E,Misc plumbing material,,Consumable Items,FCS/LKI/TE/018/26,Sui Northern Gas Pipelines Limited (SNGPL),Karak - Pakistan,Published,"Aug 29, 2026","Sep 16, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012449E,Goods/Supplies,2026-09-16,2026-08-30T06:06:58.732314
10,TS0000012435E,Misc Hardware Material,,Equipments,FCS/DIK/TE/041/26,Sui Northern Gas Pipelines Limited (SNGPL),Karak - Pakistan,Published,"Aug 29, 2026","Sep 15, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012435E,Goods/Supplies,2026-09-15,2026-08-30T06:06:58.732314
11,TS0000012434E,HARDWARE MATERIAL unclaimable items,,Miscellaneous,FCS/DIK/TE/040/26,Sui Northern Gas Pipelines Limited (SNGPL),Karak - Pakistan,Published,"Aug 29, 2026","Sep 14, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012434E,Goods/Supplies,2026-09-14,2026-08-30T06:06:58.732314
12,TS0000012436E,Civil Material,,Civil Goods,FCS/DIK/TE/042/26,Sui Northern Gas Pipelines Limited (SNGPL),Karak - Pakistan,PublishedCorrigendum,"Aug 29, 2026","Sep 14, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012436E,Goods/Supplies,2026-09-14,2026-08-30T06:06:58.732314
13,TS0000012442E,"Tender for Supply of Water through Reverse Osmosis Plant to be Installed for State Life Building No.1 & 2, Wallace Road, Karachi.",,Services,RE/PO/RO-PLANT/08/2026-27,Ministry of Commerce,Karachi - Pakistan,Published,"Aug 29, 2026","Sep 14, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012442E,Construction/Works,2026-09-14,2026-08-30T06:06:58.732314
14,TS0000012439E,Boring Material/Equipment,,Equipments,FCS/DIK/TE/043/26,Sui Northern Gas Pipelines Limited (SNGPL),Karak - Pakistan,Published,"Aug 29, 2026","Sep 13, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012439E,Goods/Supplies,2026-09-13,2026-08-30T06:06:58.732314
15,TS0000011833E,"PURCHASE OF CONSUMABLES ITEMS I.E. STATIONERY, MISCELLANEOUS, IT EQUIPMENT AND TONERS FOR THE FINANCIAL YEAR 2026.2027.","PURCHASE OF CONSUMABLES ITEMS I.E. STATIONERY, MISCELLANEOUS, IT EQUIPMENT AND TONERS FOR THE FINANCIAL YEAR 2026.2027. PURCHASE OF CONSUMABLES ITEMS I.E. STATIONERY,...",Stationery,P52305,Ministry of Overseas Pakistanis & Human Resource Development,Islamabad - Pakistan,PublishedCorrigendum,"Aug 29, 2026","Sep 08, 2026",02:30 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011833E,IT/Technology,2026-09-08,2026-08-30T06:06:58.732314
16,TS0000012431E,"Hiring for Rehabilitation of Steam Turbine-16 (ST-16) and Allied Equipment of 747 MW Combined Cycle Power Plant (CCPP), Guddu.",Hiring for Rehabilitation of Steam Turbine-16...,Services,T-Rehab-02,Ministry of Energy (Power Division),Kashmore - Pakistan,Published,"Aug 28, 2026","Oct 07, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012431E,Construction/Works,2026-10-07,2026-08-30T06:06:58.732314
17,TS0000012416E,Invitation of Technical and Financial Proposals-Hiring of Financial Advisor for the Privatisation of Pakistan Reinsurance Company Limited (PRCL),Invitation of Technical and Financial Proposals-Hiring of Financial Advisor for the Privatisation of Pakistan Reinsurance Company Limited (PRCL) Invitation of Technical and Financial...,Services,PRCL/B&U/PC/05,Ministry of Privatisation-Privatisation Commission,Islamabad - Pakistan,Published,"Aug 28, 2026","Oct 02, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012416E,Services,2026-10-02,2026-08-30T06:06:58.732314
18,TS0000010661E,HIRING OF CONSULTANTS FOR STUDY AND ASSESMENT OF TRANSMISSION & DISTRIBUTION (T&D) TECHNICAL LOSSES OF HESCO NETWORKS FOR THE YEAR 2025-2026,HIRING OF CONSULTANTS FOR STUDY AND ASSESMENT OF...,Services,HESCO/T&D LOSSES/C.E (P&E)/2026,Hyderabad Electric Supply Company (HESCO),Hyderabad - Pakistan,PublishedCorrigendum,"Aug 28, 2026","Sep 30, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000010661E,IT/Technology,2026-09-30,2026-08-30T06:06:58.732314
19,TS0000012361E,Anti Cancer and General Medicine along-with Medical Consumable Items,Anti Cancer and General Medicine along-with...,Health/Medicines,01-2026,Pakistan Atomic Energy Commission (PAEC),Peshawar - Pakistan,Published,"Aug 28, 2026","Sep 29, 2026",11:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012361E,Medical/Health,2026-09-29,2026-08-30T06:06:58.732314
20,TS0000012403E,Consultancy Services for Techno Economic Feasibility & Detailed Design of Construction of Additional 2-Lane Bridge Over River Indus at Ghazi Ghat on N-70,Consultancy Services for Techno Economic Feasibility & Detailed Design of Construction of Additional 2-Lane Bridge Over River Indus at Ghazi Ghat on N-70,Services,6689,Ministry of Communications,Islamabad - Pakistan,Published,"Aug 28, 2026","Sep 29, 2026",11:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012403E,Construction/Works,2026-09-29,2026-08-30T06:06:58.732314
21,TS0000012358E,"THE SUPPLY, INSTALLATION AND SUPPORT SERVICES OF DATA CENTER CORE SWITCHES AT DATA CENTER KARACHI","Tender Notice No.PO/CPD/IT/36/2026 THE SUPPLY, INSTALLATION AND SUPPORT SERVICES OF...",Services,Tender Notice No.PO/CPD/IT/36/2026,State Life Insurance Corporation of Pakistan,Karachi - Pakistan,Published,"Aug 28, 2026","Sep 23, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012358E,Services,2026-09-23,2026-08-30T06:06:58.732314
22,TS0000011361E,(Digital Frequency generator / Ultrasonic thickness tester,As per detail in the tender documents,Miscellaneous,MNT/TE/039/26 (Digital Frequency generator / Ultrasonic thickness tester),Sui Northern Gas Pipelines Limited (SNGPL),Multan - Pakistan,PublishedCorrigendum,"Aug 28, 2026","Sep 23, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011361E,IT/Technology,2026-09-23,2026-08-30T06:06:58.732314
23,TS0000012357E,PROCUREMENT OF SPECIALIZED TOOL KITS INCLUDING TOOL SETS,PROCUREMENT OF SPECIALIZED TOOL KITS INCLUDING...,Miscellaneous,DCM/2690304/R-2608/ 320057,Directorate of Procurement (Navy),Islamabad - Pakistan,Published,"Aug 28, 2026","Sep 22, 2026",10:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012357E,Medical/Health,2026-09-22,2026-08-30T06:06:58.732314
24,TS0000012363E,Maint /Repl of damaged sewer lines at POF Wah Cantt,,Repair/Maintenance,1800-31-Gen-RB,Ministry of Defence Production,Wah Cantt - Pakistan,Published,"Aug 28, 2026","Sep 22, 2026",10:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012363E,Services,2026-09-22,2026-08-30T06:06:58.732314
25,TS0000012368E,"TENDER NO. TLC-30-2026: CONSTRUCTION AND COMPLETION OF CIVIL WORKS, ERECTION, STRINGING, TESTING & COMMISSIONING FOR REHABILITATION OF EXISTING 220 KV DOUBLE CIRCUIT TWIN BUNDLE CHASHMA-BANNU TRANSMISSION LINE",TENDER NO. TLC-30-2026: CONSTRUCTION AND...,Civil Goods,TLC-30-2026,Ministry of Energy (Power Division),Lahore - Pakistan,Published,"Aug 28, 2026","Sep 18, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012368E,Construction/Works,2026-09-18,2026-08-30T06:06:58.732314
26,TS0000012369E,CMES N COMPAK,UPLOADING OF TENDER,Civil Works,6018/124/E6 dt 28-08-2026,Military Engineering Services (Navy),Karachi - Pakistan,Published,"Aug 28, 2026","Sep 18, 2026",11:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012369E,Construction/Works,2026-09-18,2026-08-30T06:06:58.732314
27,TS0000012389E,Special Lab & Allied Chemicals (59 x Items),5126/IT-6708/GF/FOR (A)/2026-27/SCM dated 25 Aug 2026 Special Lab & Allied Chemicals (59 x Items),Chemical Items,5126/IT-6708/GF/FOR (A)/2026-27/SCM dated 25 Aug 2026,Ministry of Defence Production,Taxila - Pakistan,Published,"Aug 28, 2026","Sep 18, 2026",10:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012389E,Other,2026-09-18,2026-08-30T06:06:58.732314
28,TS0000012390E,Refurb / Upgrd of Quality Control Dept (19 x items),5126/IT-6712/GF/FOR (A)/2026-27/SCM dated 25 Aug 2026 Refurb / Upgrd of Quality Control Dept (19 x...,Miscellaneous,5126/IT-6712/GF/FOR (A)/2026-27/SCM dated 25 Aug 2026,Ministry of Defence Production,Taxila - Pakistan,Published,"Aug 28, 2026","Sep 18, 2026",10:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012390E,Other,2026-09-18,2026-08-30T06:06:58.732314
29,TS0000012351E,3000 x Signal Distress Day & Night MK-1,3000 x Signal Distress Day & Night MK-1,Miscellaneous,2690351/R2608/360021/P-36,Directorate of Procurement (Navy),Islamabad - Pakistan,Published,"Aug 28, 2026","Sep 17, 2026",10:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012351E,Other,2026-09-17,2026-08-30T06:06:58.732314
30,TS0000012352E,Rocket Launcher 40mm RPG-7 Complete,Rocket Launcher 40mm RPG-7 Complete,Ammunition,2609355/R2608/360027/P-36,Directorate of Procurement (Navy),Islamabad - Pakistan,Published,"Aug 28, 2026","Sep 17, 2026",10:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012352E,Defence/Military,2026-09-17,2026-08-30T06:06:58.732314
31,TS0000012355E,CTGS SAA 12 Bore and CTGS SAA 12 Bore BB,CTGS SAA 12 Bore and CTGS SAA 12 Bore BB,Ammunition,2690358/R2608/360030/P-36,Directorate of Procurement (Navy),Islamabad - Pakistan,Published,"Aug 28, 2026","Sep 17, 2026",10:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012355E,Defence/Military,2026-09-17,2026-08-30T06:06:58.732314
32,TS0000012360E,Invitation to E-Bid,Through SAP ARIBA Discovery 113/08,Miscellaneous,113/08,Oil and Gas Development Company Limited (OGDCL),Islamabad - Pakistan,Published,"Aug 28, 2026","Sep 17, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012360E,Other,2026-09-17,2026-08-30T06:06:58.732314
33,TS0000012370E,"Electric Shuttle (11-14)Seaters) alongwith Standard Tools, Accessories & Equipment",Electric Shuttle (11-14)Seaters) alongwith...,Vehicles,2609346/R2608/360015/P-36,Directorate of Procurement (Navy),Islamabad - Pakistan,Published,"Aug 28, 2026","Sep 17, 2026",10:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012370E,Energy/Utilities,2026-09-17,2026-08-30T06:06:58.732314
34,TS0000012374E,"Construction of Fly-Over Bridge at Labaik Chowk near Admore filling station, Latifabad, district Hyderabad.",2 Schemes Construction of Fly-Over Bridge at Labaik Chowk...,Civil Goods,PIDCL/Sindh/PSDP/Hyderabad (2 Schemes),Ministry of Housing & Works,Karachi - Pakistan,Published,"Aug 28, 2026","Sep 17, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012374E,Construction/Works,2026-09-17,2026-08-30T06:06:58.732314
35,TS0000012382E,Construction of Fly-Over Bridge at Haider Chowk Hyderabad. Contract Package # PIDCL/Sindh/PSDP/04/10,1 Scheme Construction of Fly-Over Bridge at Haider Chowk...,Civil Works,PIDCL/Sindh/PSDP/Hyderabad (1 Scheme),Ministry of Housing & Works,Karachi - Pakistan,Published,"Aug 28, 2026","Sep 17, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012382E,Construction/Works,2026-09-17,2026-08-30T06:06:58.732314
36,TS0000012385E,"upgradation of existing 35 traffic signal intersection , including installation with modernization of 18 pedestrian (pelican) crossing feature at various location in islamabad",,Miscellaneous,p84802,Capital Development Authority,Islamabad - Pakistan,Published,"Aug 28, 2026","Sep 17, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012385E,Other,2026-09-17,2026-08-30T06:06:58.732314
37,TS0000012396E,"SUPPLY OF FURNITURE AT NBP CORPORATE OFFICE, M.M ALAM ROAD, LAHORE","SUPPLY OF FURNITURE AT NBP CORPORATE OFFICE, M.M...",Appliances,P98989,National Bank of Pakistan (NBP),Karachi - Pakistan,Published,"Aug 28, 2026","Sep 17, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012396E,Goods/Supplies,2026-09-17,2026-08-30T06:06:58.732314
38,TS0000012421E,LP/T-4208/26/AA PROCUREMENT OF DIGITAL THERMAL OFFSET PLATES (POSITIVE),,Printing,LP/T-4208/26/AA PROCUREMENT OF DIGITAL THERMAL OFFSET PLATES (POSITIVE),Pakistan Security Printing Corporaion (PSPC),Islamabad - Pakistan,Published,"Aug 28, 2026","Sep 17, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012421E,IT/Technology,2026-09-17,2026-08-30T06:06:58.732314
39,TS0000012350E,HARDWARE MATERIAL,HARDWARE MATERIAL We Intent to procure Hardware Material at our...,Miscellaneous,FSD/TE/011/2026,Sui Northern Gas Pipelines Limited (SNGPL),Faisalabad - Pakistan,Published,"Aug 28, 2026","Sep 16, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012350E,Goods/Supplies,2026-09-16,2026-08-30T06:06:58.732314
40,TS0000012391E,Proc of Spl Tooling for CNC Lathe Machine (18 x items),5126/IT-6713/GF/FOR (A)/2026-27/SCM dated 25 Aug 2026 Proc of Spl Tooling for CNC Lathe Machine (18 x...,Equipments,5126/IT-6713/GF/FOR (A)/2026-27/SCM dated 25 Aug 2026,Ministry of Defence Production,Taxila - Pakistan,Published,"Aug 28, 2026","Sep 16, 2026",10:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012391E,Goods/Supplies,2026-09-16,2026-08-30T06:06:58.732314
41,TS0000012392E,Proc of Gauges and Instruments (39 x items),5126/IT-6714/GF/FOR (A)/2026-27/SCM dated 25 Aug 2026 Proc of Gauges and Instruments (39 x items),Miscellaneous,5126/IT-6714/GF/FOR (A)/2026-27/SCM dated 25 Aug 2026,Ministry of Defence Production,Taxila - Pakistan,Published,"Aug 28, 2026","Sep 16, 2026",10:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012392E,Other,2026-09-16,2026-08-30T06:06:58.732314
42,TS0000012393E,Provision of Certain facilities,,Civil Works,630/32/CMES/30/E-6,Ministry of Defence,Rawalpindi - Pakistan,Published,"Aug 28, 2026","Sep 16, 2026",11:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012393E,Construction/Works,2026-09-16,2026-08-30T06:06:58.732314
43,TS0000012428E,Misc Hardware Material (Store Stock),Misc Hardware Material (Store Stock),Miscellaneous,FCS/NSR/TE/031/26 Misc Hardware Material (Store Stock),Sui Northern Gas Pipelines Limited (SNGPL),Charsada - Pakistan,Published,"Aug 28, 2026","Sep 16, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012428E,Goods/Supplies,2026-09-16,2026-08-30T06:06:58.732314
44,TS0000010524E,METALLURGICAL COKES,"METALLURGICAL COKES QTY.1,865,000 KGS., Tender...",Miscellaneous,SNT-2328/26,Sui Northern Gas Pipelines Limited (SNGPL),Islamabad - Pakistan,PublishedCorrigendum,"Aug 28, 2026","Sep 16, 2026",02:30 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000010524E,Other,2026-09-16,2026-08-30T06:06:58.732314
45,TS0000012344E,RIFB For Special Maintenance Work For Contract No (SM-(N-130)-2025-26-01) in Mianwali,,Civil Works,Mianwali,Ministry of Communications,Islamabad - Pakistan,Published,"Aug 28, 2026","Sep 15, 2026",10:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012344E,Construction/Works,2026-09-15,2026-08-30T06:06:58.732314
46,TS0000012345E,RIFB for Maintenance Work For Contract No (RM-N-130-2026-27-01 to RM-N-135-2026-27-06) in Mianwali,,Civil Works,Mianwali,Ministry of Communications,Islamabad - Pakistan,Published,"Aug 28, 2026","Sep 15, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012345E,Construction/Works,2026-09-15,2026-08-30T06:06:58.732314
47,TS0000012359E,"NCB-241 Reconductroing / Remodeling of 132 kV Transmission Line (22.783 km) Burhan to Kamra included in Multi Year Tariff (Rs. 83,734,267 including PST)",NCB-241 Reconductroing / Remodeling of 132 kV...,Civil Works,PMU/Civil/ NCB -241,Islamabad Electric Supply Company (IESCO),Islamabad - Pakistan,Published,"Aug 28, 2026","Sep 15, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012359E,Construction/Works,2026-09-15,2026-08-30T06:06:58.732314
48,TS0000012362E,"NCB-242 CONSTRUCTION OF 132 KV TRANSMISSION LINE (17.7 KM) FAQIRABAD –PAC KAMRA - SANJWAL INCLUDED IN MULTI YEAR TARIFF (Rs. 50,544,869/- including PST)",NCB-242 CONSTRUCTION OF 132 KV TRANSMISSION LINE...,Civil Works,"NCB-242 CONSTRUCTION OF 132 KV TRANSMISSION LINE (17.7 KM) FAQIRABAD –PAC KAMRA - SANJWAL INCLUDED IN MULTI YEAR TARIFF (Rs. 50,544,869/- including PST)",Islamabad Electric Supply Company (IESCO),Islamabad - Pakistan,Published,"Aug 28, 2026","Sep 15, 2026",11:10 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012362E,Construction/Works,2026-09-15,2026-08-30T06:06:58.732314
49,TS0000012365E,"NCB-243 Construction of 132kv T/Line (18.4 km) feed for Lillah Grid Station (in and out from 132 kV Pakistan Cement Factory to Noorpur Sethi) under Multiyear Tariff (Rs.68,549,040/- including PST))",NCB-243 Construction of 132kv T/Line (18.4 km)...,Civil Works,PMU/Civil/ NCB -243,Islamabad Electric Supply Company (IESCO),Islamabad - Pakistan,Published,"Aug 28, 2026","Sep 15, 2026",11:20 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012365E,Construction/Works,2026-09-15,2026-08-30T06:06:58.732314
50,TS0000012366E,"NCB-244 CONSTRUCTION OF 132 KV GRID STATION DHA PHASE VII (ROSE) UNDER COST DEPOSIT HEAD (Rs. 162,445,456/- including PST))",NCB-244 CONSTRUCTION OF 132 KV GRID STATION DHA...,Civil Works,PMU/Civil/ NCB -244,Islamabad Electric Supply Company (IESCO),Islamabad - Pakistan,Published,"Aug 28, 2026","Sep 15, 2026",11:25 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012366E,Construction/Works,2026-09-15,2026-08-30T06:06:58.732314
51,TS0000012367E,"NCB-245 CONVERSION OF 33 KV IN TO 132 KV FATEHPUR GRID STATION INCLUDED IN IESCO MUTLIYEAR TARIFF (Rs. 147,882,449/- INCLUDING PST))",NCB-245 CONVERSION OF 33 KV IN TO 132 KV FATEHPUR...,Civil Works,PMU/Civil/ NCB -245,Islamabad Electric Supply Company (IESCO),Islamabad - Pakistan,Published,"Aug 28, 2026","Sep 15, 2026",11:20 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012367E,Construction/Works,2026-09-15,2026-08-30T06:06:58.732314
52,TS0000012371E,"Construction of Jeepable Roads and Providing & Laying Water Supply Schemes at different UCs of district Kohistan, Karachi (38 Schemes)","38 Schemes, estimated cost Rs. 851,702 to 42,582,490 Construction of Jeepable Roads and Providing...",Civil Works,PIDCL/KPK/SAP/Kohistan (38 Schemes),Ministry of Housing & Works,Karachi - Pakistan,PublishedCorrigendum,"Aug 28, 2026","Sep 15, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012371E,Construction/Works,2026-09-15,2026-08-30T06:06:58.732314
53,TS0000012375E,"PROVISION OF CERTAIN FACILITIES AT KARACHI,ISLAMABAD, LAHORE, TURBAT",,Miscellaneous,"6900/CK,CP & ISLD/LHR/E6",Ministry of Defence,Islamabad - Pakistan,Published,"Aug 28, 2026","Sep 15, 2026",11:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012375E,Other,2026-09-15,2026-08-30T06:06:58.732314
54,TS0000012381E,Tender Notice For Contract No (ROB-PN-25-05-01 to SM-PN-25-05-05) in Lahore,,Civil Works,Lahore,Ministry of Communications,Islamabad - Pakistan,Published,"Aug 28, 2026","Sep 15, 2026",12:30 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012381E,Construction/Works,2026-09-15,2026-08-30T06:06:58.732314
55,TS0000012383E,"NIT for Construction of Missing Cloverleaf Loop at Junction of M-1, M-2 Motorway and uplifting of G. T.Road in Lahore",,Civil Works,Lahore,Ministry of Communications,Islamabad - Pakistan,Published,"Aug 28, 2026","Sep 15, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012383E,Construction/Works,2026-09-15,2026-08-30T06:06:58.732314
56,TS0000012387E,Tender for Repair/ Maintenance of Vehicles,"Tender for Repair/ Maintenance of Vehicles Tender for Repair/ Maintenance of Vehicles,...",Repair/Maintenance,119/IT/Lhr,Ministry of Interior and Narcotics Control,Rawalpindi - Pakistan,Published,"Aug 28, 2026","Sep 15, 2026",10:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012387E,Services,2026-09-15,2026-08-30T06:06:58.732314
57,TS0000012388E,PRE-QUALIFICATION NOTICE-REPAIR & MAINTENANCE,,Repair/Maintenance,F. No.1-2/2026-27 (Admin),Ministry of Federal Education and Professional Training,Islamabad - Pakistan,Published,"Aug 28, 2026","Sep 15, 2026",10:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012388E,Services,2026-09-15,2026-08-30T06:06:58.732314
58,TS0000012397E,Invitation to Bids,Carriage & erection of HT/LT PCC Spun Hollow...,Services,20-43/2026/CE(Op),Ministry of Energy (Power Division),Faisalabad - Pakistan,Published,"Aug 28, 2026","Sep 15, 2026",12:15 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012397E,Services,2026-09-15,2026-08-30T06:06:58.732314
59,TS0000012399E,Procurement of Stationery & Computer Stationery,Stationery and Computer Stationery items,Stationery,01/2026-27,Federal Board of Revenue (FBR),Lahore - Pakistan,Published,"Aug 28, 2026","Sep 15, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012399E,IT/Technology,2026-09-15,2026-08-30T06:06:58.732314
60,TS0000012400E,PREQUALIFICATION OF SUPPLIERS & SERVICE PROVIDERS (GOODS & SERVICES),PREQUALIFICATION OF SUPPLIERS & SERVICE PROVIDERS (GOODS & SERVICES),Miscellaneous,IC/PD/2026-27/PQ-005 RE,Islamabad Club,Islamabad - Pakistan,Published,"Aug 28, 2026","Sep 15, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012400E,Services,2026-09-15,2026-08-30T06:06:58.732314
61,TS0000012401E,Prequalification of Beef & Mutton & Frozen Chicken Suppliers,Prequalification of Beef & Mutton & Frozen Chicken Suppliers,Miscellaneous,IC/SCM/ FY 26/27 PQ6,Islamabad Club,Islamabad - Pakistan,Published,"Aug 28, 2026","Sep 15, 2026",12:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012401E,Other,2026-09-15,2026-08-30T06:06:58.732314
62,TS0000012407E,Tender No 4438 Procurement of Hyper Converged Infrastructure (HCI) & Virtual Application Load Balancer,,Miscellaneous,Tender No 4438 Procurement of Hyper Converged Infrastructure (HCI) & Virtual Application Load Balancer,Ministry of Energy (Power Division),Lahore - Pakistan,Published,"Aug 28, 2026","Sep 15, 2026",10:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012407E,Construction/Works,2026-09-15,2026-08-30T06:06:58.732314
